fp_number,plot_area_sqft,plot_area_sqm,shape_class,frontage_m,depth_m,height_band,envelope_status,placement_status,core_status,skeleton_status,skeleton_valid,compliance_status,fsi_achieved,fsi_max,gc_achieved_pct,gc_permissible_pct,cop_provided_sqft,cop_required_sqft,cop_pct,storey_height_used_m,num_floors_estimated,footprint_width_m,footprint_depth_m,efficiency_pct,core_failed,fallback_road_used,error,strategy_unit_type,strategy_units_per_floor,strategy_floors,strategy_total_units,strategy_fsi_usage_pct,strategy_efficiency_pct
142,4458.65,414.22,IRREGULAR,29.264,16.467,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.418,2.7,28.36,40.0,901.07,445.86,202.1,3.0,5,5.408,21.753,83.45,N,Y,,3BHK,1,5,5,49.18,100.0
143,4143.34,384.93,IRREGULAR,29.583,13.132,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.6697,2.7,33.39,40.0,946.18,414.33,228.36,3.0,5,5.507,23.343,84.58,N,Y,,3BHK,1,5,5,52.92,100.0
144,5860.35,544.44,IRREGULAR,30.132,18.265,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.4485,2.7,28.97,40.0,1759.52,586.03,300.24,3.0,5,6.654,23.78,84.86,N,Y,,3BHK,1,5,5,37.41,81.92
145,5820.43,540.74,IRREGULAR,26.386,20.675,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,NON-COMPLIANT,1.9871,2.7,39.74,40.0,838.35,582.04,144.04,3.0,5,11.626,18.501,80.54,N,Y,,3BHK,2,5,10,75.34,100.0
146,8246.72,766.14,IRREGULAR,39.936,19.87,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,NON-COMPLIANT,1.9023,2.7,38.05,40.0,1261.75,824.67,153.0,3.0,5,9.182,31.809,88.68,N,Y,,3BHK,2,5,10,53.18,84.94
147,2907.84,270.15,IRREGULAR,25.628,10.982,HIGH_RISE,VALID,NO_FIT,,,,,,,,,,,,,,,,,,Y,Placement failed,,,,,,
148,1502.65,139.6,IRREGULAR,14.45,9.67,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 196.7 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
149,1062.36,98.7,IRREGULAR,11.186,9.676,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 84.4 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
15,4936.69,458.63,IRREGULAR,29.282,17.92,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.5375,2.7,30.75,40.0,897.61,493.67,181.82,3.0,5,6.26,22.535,84.02,N,Y,,3BHK,1,5,5,44.42,92.81
150,8672.19,805.67,IRREGULAR,30.132,20.681,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.5876,2.7,31.75,40.0,1258.93,867.22,145.17,3.0,5,13.191,19.411,81.45,N,Y,,3BHK,2,5,10,50.57,100.0
151,1705.25,158.42,IRREGULAR,16.774,9.509,HIGH_RISE,VALID,NO_FIT,,,,,,,,,,,,,,,,,,Y,Placement failed,,,,,,
152,6680.73,620.66,IRREGULAR,43.923,24.988,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,0.7124,2.7,14.25,40.0,1495.64,668.07,223.87,3.0,5,6.038,15.035,76.06,N,Y,,3BHK,1,5,5,32.82,100.0
153,6138.38,570.27,IRREGULAR,31.055,20.478,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.3796,2.7,27.59,40.0,729.58,613.84,118.86,3.0,5,13.432,11.725,69.3,N,Y,,3BHK,2,5,10,71.44,100.0
155,5988.43,556.34,IRREGULAR,33.206,16.945,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,NON-COMPLIANT,1.9057,2.7,38.11,40.0,1100.03,598.84,183.69,3.0,5,7.925,26.832,86.58,N,Y,,3BHK,1,5,5,36.61,59.75
156,6632.51,616.18,IRREGULAR,36.423,22.195,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,0.4339,2.7,8.68,40.0,3163.21,663.25,476.93,3.0,5,12.116,4.42,64.84,N,Y,,,,,,,
157,1538.97,142.97,IRREGULAR,16.398,8.839,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 145.3 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
158,5397.44,501.44,IRREGULAR,17.83,15.029,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,0.7589,2.7,15.18,40.0,1080.79,539.74,200.24,3.0,5,7.544,10.135,64.48,N,Y,,1BHK,2,5,10,36.93,100.0
159,3181.53,295.57,IRREGULAR,18.043,16.74,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.6412,2.7,32.82,40.0,540.36,318.15,169.84,3.0,5,10.897,8.915,59.62,N,Y,,1BHK,3,5,15,93.98,100.0
16,8296.46,770.77,IRREGULAR,36.254,24.007,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 6 (REAR, GDCR Table 6.26). The plot is too narrow to accommodate the required setback.",,,,,,
160,2965.5,275.5,IRREGULAR,27.246,10.218,HIGH_RISE,VALID,NO_FIT,,,,,,,,,,,,,,,,,,Y,Placement failed,,,,,,
160/1,1307.38,121.46,IRREGULAR,11.028,11.028,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 190.1 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
162,1418.43,131.78,IRREGULAR,17.611,7.582,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 8.1 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
163,2058.14,191.21,IRREGULAR,14.115,13.561,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.2792,2.7,25.58,40.0,454.92,205.81,221.04,3.0,5,6.096,8.077,55.43,N,Y,,,,,,,
164,1332.3,123.78,IRREGULAR,15.966,7.59,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 7.8 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
165,4124.97,383.22,IRREGULAR,26.482,14.767,HIGH_RISE,VALID,VALID,VALID,SINGLE_LOADED,Y,NON-COMPLIANT,1.8477,2.7,36.95,40.0,824.48,412.5,199.87,3.0,5,19.62,7.228,65.29,N,Y,,3BHK,1,5,5,53.16,100.0
166,3079.51,286.1,IRREGULAR,21.279,13.445,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 1 (SIDE, GDCR Table 6.26). The plot is too narrow to accommodate the required setback.",,,,,,
167,7845.28,728.85,RECTANGULAR,29.157,25.059,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,NON-COMPLIANT,1.9973,2.7,39.95,40.0,937.39,784.53,119.48,3.0,5,14.543,20.035,82.03,N,Y,,3BHK,3,5,15,83.85,100.0
168,3013.98,280.01,RECTANGULAR,20.133,13.972,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 2 (SIDE, GDCR Table 6.26). The plot is too narrow to accommodate the required setback.",,,,,,
169,880.99,81.85,IRREGULAR,10.444,8.432,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 0.0 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
17,1486.61,138.11,IRREGULAR,23.533,6.297,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 3 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",,,,,,
170,1809.99,168.15,RECTANGULAR,14.758,11.394,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.012,2.7,20.24,40.0,476.55,181.0,263.29,3.0,5,8.763,3.886,51.39,N,Y,,1BHK,1,5,5,55.06,100.0
171,560.73,52.09,IRREGULAR,7.882,6.711,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 4 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",,,,,,
172,5673.21,527.06,IRREGULAR,32.558,23.042,HIGH_RISE,VALID,NO_FIT_CORE,NO_CORE_FIT,,,,,,,,,,,,,5.715,5.258,,Y,Y,Core fit failed,,,,,,
173,9897.35,919.49,IRREGULAR,36.254,18.003,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 2 (SIDE, GDCR Table 6.26). The plot is too narrow to accommodate the required setback.",,,,,,
174,5168.63,480.18,IRREGULAR,31.235,16.182,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 10 (SIDE, GDCR Table 6.26). The plot is too narrow to accommodate the required setback.",,,,,,
175,726.46,67.49,IRREGULAR,11.478,6.942,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 3 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",,,,,,
176,1231.11,114.37,IRREGULAR,20.295,6.029,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 7 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",,,,,,
177,4646.62,431.68,IRREGULAR,32.248,13.569,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.7873,2.7,35.75,40.0,1019.45,464.66,219.4,3.0,5,6.041,25.609,85.94,N,Y,,3BHK,1,5,5,47.19,82.74
178,1707.4,158.62,IRREGULAR,30.38,5.635,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 5 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",,,,,,
179,6158.8,572.17,IRREGULAR,26.889,21.28,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,0.9175,2.7,18.35,40.0,868.29,615.88,140.98,3.0,5,7.62,13.792,73.9,N,Y,,3BHK,1,5,5,35.6,100.0
18,507.99,47.19,IRREGULAR,9.383,5.7,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 2 (REAR, GDCR Table 6.26). The plot is too narrow to accommodate the required setback.",,,,,,
181,4228.68,392.86,IRREGULAR,37.882,8.914,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 5 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",,,,,,
19,706.44,65.63,IRREGULAR,10.785,6.509,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 4 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",,,,,,
2,3759.45,349.26,IRREGULAR,23.439,16.294,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.5394,2.7,30.79,40.0,727.95,375.95,193.63,3.0,5,6.782,15.855,77.29,N,Y,,3BHK,1,5,5,58.32,100.0
20,5150.84,478.53,IRREGULAR,19.355,26.782,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 24.9 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
21,2263.35,210.27,IRREGULAR,22.79,9.898,HIGH_RISE,VALID,NO_FIT,,,,,,,,,,,,,,,,,,Y,Placement failed,,,,,,
22,1707.2,158.6,IRREGULAR,14.758,12.343,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 128.6 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
23,12134.43,1127.33,IRREGULAR,50.926,23.698,HIGH_RISE,VALID,VALID,VALID,SINGLE_LOADED,Y,COMPLIANT,1.6762,2.7,33.52,40.0,1679.06,1213.44,138.37,3.0,5,42.228,8.971,77.88,N,Y,,3BHK,1,5,5,18.07,37.28
24,4630.31,430.17,RECTANGULAR,29.498,14.758,HIGH_RISE,VALID,VALID,VALID,SINGLE_LOADED,Y,NON-COMPLIANT,1.9155,2.7,38.31,40.0,932.34,463.03,201.36,3.0,5,22.929,7.216,67.88,N,Y,,3BHK,1,5,5,47.35,97.93
25,3479.47,323.25,IRREGULAR,18.154,18.305,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 8 (SIDE, GDCR Table 6.26). The plot is too narrow to accommodate the required setback.",,,,,,
26,4084.56,379.47,IRREGULAR,22.105,18.105,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,1.7974,2.7,35.95,40.0,660.68,408.46,161.75,3.0,5,9.341,14.62,75.38,N,Y,,2BHK,2,5,10,73.2,100.0
27,4918.06,456.9,IRREGULAR,22.582,19.79,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,NON-COMPLIANT,1.8011,2.7,36.02,40.0,700.27,491.81,142.39,3.0,5,10.709,15.388,76.61,N,Y,,3BHK,2,5,10,89.17,100.0
28,3977.12,369.49,IRREGULAR,19.12,20.681,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,NON-COMPLIANT,1.8358,2.7,36.72,40.0,562.03,397.71,141.32,3.0,5,11.43,11.887,69.72,N,Y,,2BHK,2,5,10,75.18,100.0
29,1200.7,111.55,IRREGULAR,12.473,9.637,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 120.4 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
3,203.09,18.87,IRREGULAR,4.787,3.962,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 3 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",,,,,,
31,821.69,76.34,IRREGULAR,9.884,7.859,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 10.6 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
32,5188.84,482.06,IRREGULAR,31.74,16.568,HIGH_RISE,VALID,VALID,VALID,END_CORE,Y,COMPLIANT,0.8783,2.7,17.57,40.0,686.12,518.88,132.23,3.0,5,15.594,5.438,72.68,N,Y,,1BHK,2,5,10,38.42,100.0
33,4437.08,412.22,IRREGULAR,31.733,16.248,HIGH_RISE,COLLAPSED,,,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 2 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",,,,,,
34,16322.14,1516.38,IRREGULAR,38.905,52.393,HIGH_RISE,TOO_SMALL,,,,,,,,,,,,,,,,,,,Y,Resulting envelope area 54.1 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,,,,,,
